INTKEY,STRINGKEY,INTNUM,STRINGNUM,FLOATNUM,LONGNUM,DOUBLENUM,BYTENUM,DATEVALUE,TIMEVALUE,TIMESTAMPVALUE,BOOLEANVALUE,CHARVALUE,SHORTVALUE,BIGINTEGERVALUE,BIGDECIMALVALUE,objectvalue
0,0,,-4999,-4999.0,-4999,-4999.0,-128,2000-01-01,00:00:00,2000-01-01 00:00:00.0,true,0,-32768,-4999,-4999,-4999
1,1,-4998,,-4998.0,-4998,-4998.0,-127,2000-01-02,01:00:00,2000-01-01 00:00:01.0,false,1,-32767,-4998,-4998,-4998
2,2,-4997,-4997,,-4997,-4997.0,-126,2000-01-03,02:00:00,2000-01-01 00:00:02.0,true,0,-32766,-4997,-4997,-4997
3,3,-4996,-4996,-4996.0,,-4996.0,-125,2000-01-04,03:00:00,2000-01-01 00:00:03.0,false,1,-32765,-4996,-4996,-4996
4,4,-4995,-4995,-4995.0,-4995,,-124,2000-01-05,04:00:00,2000-01-01 00:00:04.0,true,0,-32764,-4995,-4995,-4995
5,5,-4994,-4994,-4994.0,-4994,-4994.0,,2000-01-06,05:00:00,2000-01-01 00:00:05.0,false,1,-32763,-4994,-4994,-4994
6,6,-4993,-4993,-4993.0,-4993,-4993.0,-122,,06:00:00,2000-01-01 00:00:06.0,true,0,-32762,-4993,-4993,-4993
7,7,-4992,-4992,-4992.0,-4992,-4992.0,-121,2000-01-08,,2000-01-01 00:00:07.0,false,1,-32761,-4992,-4992,-4992
8,8,-4991,-4991,-4991.0,-4991,-4991.0,-120,2000-01-09,08:00:00,,true,0,-32760,-4991,-4991,-4991
9,9,-4990,-4990,-4990.0,-4990,-4990.0,-119,2000-01-10,09:00:00,2000-01-01 00:00:09.0,false,1,-32759,-4990,-4990,-4990
10,10,-4989,-4989,-4989.0,-4989,-4989.0,-118,2000-01-11,10:00:00,2000-01-01 00:00:10.0,true,,-32758,-4989,-4989,-4989
11,11,-4988,-4988,-4988.0,-4988,-4988.0,-117,2000-01-12,11:00:00,2000-01-01 00:00:11.0,false,1,,-4988,-4988,-4988
12,12,-4987,-4987,-4987.0,-4987,-4987.0,-116,2000-01-13,12:00:00,2000-01-01 00:00:12.0,true,0,-32756,,-4987,-4987
13,13,-4986,-4986,-4986.0,-4986,-4986.0,-115,2000-01-14,13:00:00,2000-01-01 00:00:13.0,false,1,-32755,-4986,,-4986
14,14,-4985,-4985,-4985.0,-4985,-4985.0,-114,2000-01-15,14:00:00,2000-01-01 00:00:14.0,true,0,-32754,-4985,-4985,
15,15,-4984,-4984,-4984.0,-4984,-4984.0,-113,2000-01-16,15:00:00,2000-01-01 00:00:15.0,false,1,-32753,-4984,-4984,-4984
16,16,,-4983,-4983.0,-4983,-4983.0,-112,2000-01-17,16:00:00,2000-01-01 00:00:16.0,true,0,-32752,-4983,-4983,-4983
17,17,-4982,,-4982.0,-4982,-4982.0,-111,2000-01-18,17:00:00,2000-01-01 00:00:17.0,false,1,-32751,-4982,-4982,-4982
18,18,-4981,-4981,,-4981,-4981.0,-110,2000-01-19,18:00:00,2000-01-01 00:00:18.0,true,0,-32750,-4981,-4981,-4981
19,19,-4980,-4980,-4980.0,,-4980.0,-109,2000-01-20,19:00:00,2000-01-01 00:00:19.0,false,1,-32749,-4980,-4980,-4980
20,20,-4979,-4979,-4979.0,-4979,,-108,2000-01-21,20:00:00,2000-01-01 00:00:20.0,true,0,-32748,-4979,-4979,-4979
21,21,-4978,-4978,-4978.0,-4978,-4978.0,,2000-01-22,21:00:00,2000-01-01 00:00:21.0,false,1,-32747,-4978,-4978,-4978
22,22,-4977,-4977,-4977.0,-4977,-4977.0,-106,,22:00:00,2000-01-01 00:00:22.0,true,0,-32746,-4977,-4977,-4977
23,23,-4976,-4976,-4976.0,-4976,-4976.0,-105,2000-01-24,,2000-01-01 00:00:23.0,false,1,-32745,-4976,-4976,-4976
24,24,-4975,-4975,-4975.0,-4975,-4975.0,-104,2000-01-25,00:00:00,,true,0,-32744,-4975,-4975,-4975
25,25,-4974,-4974,-4974.0,-4974,-4974.0,-103,2000-01-26,01:00:00,2000-01-01 00:00:25.0,false,1,-32743,-4974,-4974,-4974
26,26,-4973,-4973,-4973.0,-4973,-4973.0,-102,2000-01-27,02:00:00,2000-01-01 00:00:26.0,true,,-32742,-4973,-4973,-4973
27,27,-4972,-4972,-4972.0,-4972,-4972.0,-101,2000-01-28,03:00:00,2000-01-01 00:00:27.0,false,1,,-4972,-4972,-4972
28,28,-4971,-4971,-4971.0,-4971,-4971.0,-100,2000-01-29,04:00:00,2000-01-01 00:00:28.0,true,0,-32740,,-4971,-4971
29,29,-4970,-4970,-4970.0,-4970,-4970.0,-99,2000-01-30,05:00:00,2000-01-01 00:00:29.0,false,1,-32739,-4970,,-4970
30,30,-4969,-4969,-4969.0,-4969,-4969.0,-98,2000-01-31,06:00:00,2000-01-01 00:00:30.0,true,0,-32738,-4969,-4969,
31,31,-4968,-4968,-4968.0,-4968,-4968.0,-97,2000-02-01,07:00:00,2000-01-01 00:00:31.0,false,1,-32737,-4968,-4968,-4968
32,32,,-4967,-4967.0,-4967,-4967.0,-96,2000-02-02,08:00:00,2000-01-01 00:00:32.0,true,0,-32736,-4967,-4967,-4967
33,33,-4966,,-4966.0,-4966,-4966.0,-95,2000-02-03,09:00:00,2000-01-01 00:00:33.0,false,1,-32735,-4966,-4966,-4966
34,34,-4965,-4965,,-4965,-4965.0,-94,2000-02-04,10:00:00,2000-01-01 00:00:34.0,true,0,-32734,-4965,-4965,-4965
35,35,-4964,-4964,-4964.0,,-4964.0,-93,2000-02-05,11:00:00,2000-01-01 00:00:35.0,false,1,-32733,-4964,-4964,-4964
