INTKEY,STRINGKEY,INTNUM,STRINGNUM,FLOATNUM,LONGNUM,DOUBLENUM,BYTENUM,DATEVALUE,TIMEVALUE,TIMESTAMPVALUE,BOOLEANVALUE,CHARVALUE,SHORTVALUE,BIGINTEGERVALUE,BIGDECIMALVALUE,objectvalue
246,"246",-4753,"-4753",-4753,-4753,-4753,118,NULL,"1970-01-01 06:00:00.0","2000-01-01 00:04:06.0",1,"0",-32522,-4753,-4753,"-4753"
247,"247",-4752,"-4752",-4752,-4752,-4752,119,"2000-09-04 00:00:00.0",NULL,"2000-01-01 00:04:07.0",0,"1",-32521,-4752,-4752,"-4752"
248,"248",-4751,"-4751",-4751,-4751,-4751,120,"2000-09-05 00:00:00.0","1970-01-01 08:00:00.0",NULL,1,"0",-32520,-4751,-4751,"-4751"
249,"249",-4750,"-4750",-4750,-4750,-4750,121,"2000-09-06 00:00:00.0","1970-01-01 09:00:00.0","2000-01-01 00:04:09.0",0,"1",-32519,-4750,-4750,"-4750"
250,"250",-4749,"-4749",-4749,-4749,-4749,122,"2000-09-07 00:00:00.0","1970-01-01 10:00:00.0","2000-01-01 00:04:10.0",1,NULL,-32518,-4749,-4749,"-4749"
251,"251",-4748,"-4748",-4748,-4748,-4748,123,"2000-09-08 00:00:00.0","1970-01-01 11:00:00.0","2000-01-01 00:04:11.0",0,"1",NULL,-4748,-4748,"-4748"
252,"252",-4747,"-4747",-4747,-4747,-4747,124,"2000-09-09 00:00:00.0","1970-01-01 12:00:00.0","2000-01-01 00:04:12.0",1,"0",-32516,NULL,-4747,"-4747"
253,"253",-4746,"-4746",-4746,-4746,-4746,125,"2000-09-10 00:00:00.0","1970-01-01 13:00:00.0","2000-01-01 00:04:13.0",0,"1",-32515,-4746,NULL,"-4746"
254,"254",-4745,"-4745",-4745,-4745,-4745,126,"2000-09-11 00:00:00.0","1970-01-01 14:00:00.0","2000-01-01 00:04:14.0",1,"0",-32514,-4745,-4745,NULL
255,"255",-4744,"-4744",-4744,-4744,-4744,127,"2000-09-12 00:00:00.0","1970-01-01 15:00:00.0","2000-01-01 00:04:15.0",0,"1",-32513,-4744,-4744,"-4744"
256,"256",NULL,"-4743",-4743,-4743,-4743,126,"2000-09-13 00:00:00.0","1970-01-01 16:00:00.0","2000-01-01 00:04:16.0",1,"0",-32512,-4743,-4743,"-4743"
257,"257",-4742,NULL,-4742,-4742,-4742,125,"2000-09-14 00:00:00.0","1970-01-01 17:00:00.0","2000-01-01 00:04:17.0",0,"1",-32511,-4742,-4742,"-4742"
258,"258",-4741,"-4741",NULL,-4741,-4741,124,"2000-09-15 00:00:00.0","1970-01-01 18:00:00.0","2000-01-01 00:04:18.0",1,"0",-32510,-4741,-4741,"-4741"
259,"259",-4740,"-4740",-4740,NULL,-4740,123,"2000-09-16 00:00:00.0","1970-01-01 19:00:00.0","2000-01-01 00:04:19.0",0,"1",-32509,-4740,-4740,"-4740"
260,"260",-4739,"-4739",-4739,-4739,NULL,122,"2000-09-17 00:00:00.0","1970-01-01 20:00:00.0","2000-01-01 00:04:20.0",1,"0",-32508,-4739,-4739,"-4739"
261,"261",-4738,"-4738",-4738,-4738,-4738,NULL,"2000-09-18 00:00:00.0","1970-01-01 21:00:00.0","2000-01-01 00:04:21.0",0,"1",-32507,-4738,-4738,"-4738"
262,"262",-4737,"-4737",-4737,-4737,-4737,120,NULL,"1970-01-01 22:00:00.0","2000-01-01 00:04:22.0",1,"0",-32506,-4737,-4737,"-4737"
263,"263",-4736,"-4736",-4736,-4736,-4736,119,"2000-09-20 00:00:00.0",NULL,"2000-01-01 00:04:23.0",0,"1",-32505,-4736,-4736,"-4736"
264,"264",-4735,"-4735",-4735,-4735,-4735,118,"2000-09-21 00:00:00.0","1970-01-01 00:00:00.0",NULL,1,"0",-32504,-4735,-4735,"-4735"
265,"265",-4734,"-4734",-4734,-4734,-4734,117,"2000-09-22 00:00:00.0","1970-01-01 01:00:00.0","2000-01-01 00:04:25.0",0,"1",-32503,-4734,-4734,"-4734"
266,"266",-4733,"-4733",-4733,-4733,-4733,116,"2000-09-23 00:00:00.0","1970-01-01 02:00:00.0","2000-01-01 00:04:26.0",1,NULL,-32502,-4733,-4733,"-4733"
267,"267",-4732,"-4732",-4732,-4732,-4732,115,"2000-09-24 00:00:00.0","1970-01-01 03:00:00.0","2000-01-01 00:04:27.0",0,"1",NULL,-4732,-4732,"-4732"
268,"268",-4731,"-4731",-4731,-4731,-4731,114,"2000-09-25 00:00:00.0","1970-01-01 04:00:00.0","2000-01-01 00:04:28.0",1,"0",-32500,NULL,-4731,"-4731"
269,"269",-4730,"-4730",-4730,-4730,-4730,113,"2000-09-26 00:00:00.0","1970-01-01 05:00:00.0","2000-01-01 00:04:29.0",0,"1",-32499,-4730,NULL,"-4730"
270,"270",-4729,"-4729",-4729,-4729,-4729,112,"2000-09-27 00:00:00.0","1970-01-01 06:00:00.0","2000-01-01 00:04:30.0",1,"0",-32498,-4729,-4729,NULL
271,"271",-4728,"-4728",-4728,-4728,-4728,111,"2000-09-28 00:00:00.0","1970-01-01 07:00:00.0","2000-01-01 00:04:31.0",0,"1",-32497,-4728,-4728,"-4728"
272,"272",NULL,"-4727",-4727,-4727,-4727,110,"2000-09-29 00:00:00.0","1970-01-01 08:00:00.0","2000-01-01 00:04:32.0",1,"0",-32496,-4727,-4727,"-4727"
273,"273",-4726,NULL,-4726,-4726,-4726,109,"2000-09-30 00:00:00.0","1970-01-01 09:00:00.0","2000-01-01 00:04:33.0",0,"1",-32495,-4726,-4726,"-4726"
274,"274",-4725,"-4725",NULL,-4725,-4725,108,"2000-10-01 00:00:00.0","1970-01-01 10:00:00.0","2000-01-01 00:04:34.0",1,"0",-32494,-4725,-4725,"-4725"
275,"275",-4724,"-4724",-4724,NULL,-4724,107,"2000-10-02 00:00:00.0","1970-01-01 11:00:00.0","2000-01-01 00:04:35.0",0,"1",-32493,-4724,-4724,"-4724"
276,"276",-4723,"-4723",-4723,-4723,NULL,106,"2000-10-03 00:00:00.0","1970-01-01 12:00:00.0","2000-01-01 00:04:36.0",1,"0",-32492,-4723,-4723,"-4723"
277,"277",-4722,"-4722",-4722,-4722,-4722,NULL,"2000-10-04 00:00:00.0","1970-01-01 13:00:00.0","2000-01-01 00:04:37.0",0,"1",-32491,-4722,-4722,"-4722"
278,"278",-4721,"-4721",-4721,-4721,-4721,104,NULL,"1970-01-01 14:00:00.0","2000-01-01 00:04:38.0",1,"0",-32490,-4721,-4721,"-4721"
279,"279",-4720,"-4720",-4720,-4720,-4720,103,"2000-10-06 00:00:00.0",NULL,"2000-01-01 00:04:39.0",0,"1",-32489,-4720,-4720,"-4720"
280,"280",-4719,"-4719",-4719,-4719,-4719,102,"2000-10-07 00:00:00.0","1970-01-01 16:00:00.0",NULL,1,"0",-32488,-4719,-4719,"-4719"
281,"281",-4718,"-4718",-4718,-4718,-4718,101,"2000-10-08 00:00:00.0","1970-01-01 17:00:00.0","2000-01-01 00:04:41.0",0,"1",-32487,-4718,-4718,"-4718"
282,"282",-4717,"-4717",-4717,-4717,-4717,100,"2000-10-09 00:00:00.0","1970-01-01 18:00:00.0","2000-01-01 00:04:42.0",1,NULL,-32486,-4717,-4717,"-4717"
283,"283",-4716,"-4716",-4716,-4716,-4716,99,"2000-10-10 00:00:00.0","1970-01-01 19:00:00.0","2000-01-01 00:04:43.0",0,"1",NULL,-4716,-4716,"-4716"
284,"284",-4715,"-4715",-4715,-4715,-4715,98,"2000-10-11 00:00:00.0","1970-01-01 20:00:00.0","2000-01-01 00:04:44.0",1,"0",-32484,NULL,-4715,"-4715"
285,"285",-4714,"-4714",-4714,-4714,-4714,97,"2000-10-12 00:00:00.0","1970-01-01 21:00:00.0","2000-01-01 00:04:45.0",0,"1",-32483,-4714,NULL,"-4714"
286,"286",-4713,"-4713",-4713,-4713,-4713,96,"2000-10-13 00:00:00.0","1970-01-01 22:00:00.0","2000-01-01 00:04:46.0",1,"0",-32482,-4713,-4713,NULL
287,"287",-4712,"-4712",-4712,-4712,-4712,95,"2000-10-14 00:00:00.0","1970-01-01 23:00:00.0","2000-01-01 00:04:47.0",0,"1",-32481,-4712,-4712,"-4712"
288,"288",NULL,"-4711",-4711,-4711,-4711,94,"2000-10-15 00:00:00.0","1970-01-01 00:00:00.0","2000-01-01 00:04:48.0",1,"0",-32480,-4711,-4711,"-4711"
289,"289",-4710,NULL,-4710,-4710,-4710,93,"2000-10-16 00:00:00.0","1970-01-01 01:00:00.0","2000-01-01 00:04:49.0",0,"1",-32479,-4710,-4710,"-4710"
290,"290",-4709,"-4709",NULL,-4709,-4709,92,"2000-10-17 00:00:00.0","1970-01-01 02:00:00.0","2000-01-01 00:04:50.0",1,"0",-32478,-4709,-4709,"-4709"
291,"291",-4708,"-4708",-4708,NULL,-4708,91,"2000-10-18 00:00:00.0","1970-01-01 03:00:00.0","2000-01-01 00:04:51.0",0,"1",-32477,-4708,-4708,"-4708"
292,"292",-4707,"-4707",-4707,-4707,NULL,90,"2000-10-19 00:00:00.0","1970-01-01 04:00:00.0","2000-01-01 00:04:52.0",1,"0",-32476,-4707,-4707,"-4707"
293,"293",-4706,"-4706",-4706,-4706,-4706,NULL,"2000-10-20 00:00:00.0","1970-01-01 05:00:00.0","2000-01-01 00:04:53.0",0,"1",-32475,-4706,-4706,"-4706"
294,"294",-4705,"-4705",-4705,-4705,-4705,88,NULL,"1970-01-01 06:00:00.0","2000-01-01 00:04:54.0",1,"0",-32474,-4705,-4705,"-4705"
295,"295",-4704,"-4704",-4704,-4704,-4704,87,"2000-10-22 00:00:00.0",NULL,"2000-01-01 00:04:55.0",0,"1",-32473,-4704,-4704,"-4704"
296,"296",-4703,"-4703",-4703,-4703,-4703,86,"2000-10-23 00:00:00.0","1970-01-01 08:00:00.0",NULL,1,"0",-32472,-4703,-4703,"-4703"
297,"297",-4702,"-4702",-4702,-4702,-4702,85,"2000-10-24 00:00:00.0","1970-01-01 09:00:00.0","2000-01-01 00:04:57.0",0,"1",-32471,-4702,-4702,"-4702"
298,"298",-4701,"-4701",-4701,-4701,-4701,84,"2000-10-25 00:00:00.0","1970-01-01 10:00:00.0","2000-01-01 00:04:58.0",1,NULL,-32470,-4701,-4701,"-4701"
299,"299",-4700,"-4700",-4700,-4700,-4700,83,"2000-10-26 00:00:00.0","1970-01-01 11:00:00.0","2000-01-01 00:04:59.0",0,"1",NULL,-4700,-4700,"-4700"
300,"300",-4699,"-4699",-4699,-4699,-4699,82,"2000-10-27 00:00:00.0","1970-01-01 12:00:00.0","2000-01-01 00:05:00.0",1,"0",-32468,NULL,-4699,"-4699"
301,"301",-4698,"-4698",-4698,-4698,-4698,81,"2000-10-28 00:00:00.0","1970-01-01 13:00:00.0","2000-01-01 00:05:01.0",0,"1",-32467,-4698,NULL,"-4698"
302,"302",-4697,"-4697",-4697,-4697,-4697,80,"2000-10-29 00:00:00.0","1970-01-01 14:00:00.0","2000-01-01 00:05:02.0",1,"0",-32466,-4697,-4697,NULL
303,"303",-4696,"-4696",-4696,-4696,-4696,79,"2000-10-30 00:00:00.0","1970-01-01 15:00:00.0","2000-01-01 00:05:03.0",0,"1",-32465,-4696,-4696,"-4696"
304,"304",NULL,"-4695",-4695,-4695,-4695,78,"2000-10-31 00:00:00.0","1970-01-01 16:00:00.0","2000-01-01 00:05:04.0",1,"0",-32464,-4695,-4695,"-4695"
305,"305",-4694,NULL,-4694,-4694,-4694,77,"2000-11-01 00:00:00.0","1970-01-01 17:00:00.0","2000-01-01 00:05:05.0",0,"1",-32463,-4694,-4694,"-4694"
306,"306",-4693,"-4693",NULL,-4693,-4693,76,"2000-11-02 00:00:00.0","1970-01-01 18:00:00.0","2000-01-01 00:05:06.0",1,"0",-32462,-4693,-4693,"-4693"
307,"307",-4692,"-4692",-4692,NULL,-4692,75,"2000-11-03 00:00:00.0","1970-01-01 19:00:00.0","2000-01-01 00:05:07.0",0,"1",-32461,-4692,-4692,"-4692"
308,"308",-4691,"-4691",-4691,-4691,NULL,74,"2000-11-04 00:00:00.0","1970-01-01 20:00:00.0","2000-01-01 00:05:08.0",1,"0",-32460,-4691,-4691,"-4691"
309,"309",-4690,"-4690",-4690,-4690,-4690,NULL,"2000-11-05 00:00:00.0","1970-01-01 21:00:00.0","2000-01-01 00:05:09.0",0,"1",-32459,-4690,-4690,"-4690"
310,"310",-4689,"-4689",-4689,-4689,-4689,72,NULL,"1970-01-01 22:00:00.0","2000-01-01 00:05:10.0",1,"0",-32458,-4689,-4689,"-4689"
311,"311",-4688,"-4688",-4688,-4688,-4688,71,"2000-11-07 00:00:00.0",NULL,"2000-01-01 00:05:11.0",0,"1",-32457,-4688,-4688,"-4688"
312,"312",-4687,"-4687",-4687,-4687,-4687,70,"2000-11-08 00:00:00.0","1970-01-01 00:00:00.0",NULL,1,"0",-32456,-4687,-4687,"-4687"
313,"313",-4686,"-4686",-4686,-4686,-4686,69,"2000-11-09 00:00:00.0","1970-01-01 01:00:00.0","2000-01-01 00:05:13.0",0,"1",-32455,-4686,-4686,"-4686"
314,"314",-4685,"-4685",-4685,-4685,-4685,68,"2000-11-10 00:00:00.0","1970-01-01 02:00:00.0","2000-01-01 00:05:14.0",1,NULL,-32454,-4685,-4685,"-4685"
315,"315",-4684,"-4684",-4684,-4684,-4684,67,"2000-11-11 00:00:00.0","1970-01-01 03:00:00.0","2000-01-01 00:05:15.0",0,"1",NULL,-4684,-4684,"-4684"
316,"316",-4683,"-4683",-4683,-4683,-4683,66,"2000-11-12 00:00:00.0","1970-01-01 04:00:00.0","2000-01-01 00:05:16.0",1,"0",-32452,NULL,-4683,"-4683"
317,"317",-4682,"-4682",-4682,-4682,-4682,65,"2000-11-13 00:00:00.0","1970-01-01 05:00:00.0","2000-01-01 00:05:17.0",0,"1",-32451,-4682,NULL,"-4682"
318,"318",-4681,"-4681",-4681,-4681,-4681,64,"2000-11-14 00:00:00.0","1970-01-01 06:00:00.0","2000-01-01 00:05:18.0",1,"0",-32450,-4681,-4681,NULL
319,"319",-4680,"-4680",-4680,-4680,-4680,63,"2000-11-15 00:00:00.0","1970-01-01 07:00:00.0","2000-01-01 00:05:19.0",0,"1",-32449,-4680,-4680,"-4680"
320,"320",NULL,"-4679",-4679,-4679,-4679,62,"2000-11-16 00:00:00.0","1970-01-01 08:00:00.0","2000-01-01 00:05:20.0",1,"0",-32448,-4679,-4679,"-4679"
