INTKEY,STRINGKEY,INTNUM,STRINGNUM,FLOATNUM,LONGNUM,DOUBLENUM,BYTENUM,DATEVALUE,TIMEVALUE,TIMESTAMPVALUE,BOOLEANVALUE,CHARVALUE,SHORTVALUE,BIGINTEGERVALUE,BIGDECIMALVALUE,objectvalue
250,"250",-249,"-249",-249,-249,-249,122,"2000-09-07 00:00:00.0","1970-01-01 10:00:00.0","2000-01-01 00:04:10.0",1,NULL,-32518,-249,-249,"-249"
251,"251",-248,"-248",-248,-248,-248,123,"2000-09-08 00:00:00.0","1970-01-01 11:00:00.0","2000-01-01 00:04:11.0",0,"1",NULL,-248,-248,"-248"
252,"252",-247,"-247",-247,-247,-247,124,"2000-09-09 00:00:00.0","1970-01-01 12:00:00.0","2000-01-01 00:04:12.0",1,"0",-32516,NULL,-247,"-247"
253,"253",-246,"-246",-246,-246,-246,125,"2000-09-10 00:00:00.0","1970-01-01 13:00:00.0","2000-01-01 00:04:13.0",0,"1",-32515,-246,NULL,"-246"
254,"254",-245,"-245",-245,-245,-245,126,"2000-09-11 00:00:00.0","1970-01-01 14:00:00.0","2000-01-01 00:04:14.0",1,"0",-32514,-245,-245,NULL
255,"255",-244,"-244",-244,-244,-244,127,"2000-09-12 00:00:00.0","1970-01-01 15:00:00.0","2000-01-01 00:04:15.0",0,"1",-32513,-244,-244,"-244"
256,"256",NULL,"-243",-243,-243,-243,126,"2000-09-13 00:00:00.0","1970-01-01 16:00:00.0","2000-01-01 00:04:16.0",1,"0",-32512,-243,-243,"-243"
257,"257",-242,NULL,-242,-242,-242,125,"2000-09-14 00:00:00.0","1970-01-01 17:00:00.0","2000-01-01 00:04:17.0",0,"1",-32511,-242,-242,"-242"
258,"258",-241,"-241",NULL,-241,-241,124,"2000-09-15 00:00:00.0","1970-01-01 18:00:00.0","2000-01-01 00:04:18.0",1,"0",-32510,-241,-241,"-241"
259,"259",-240,"-240",-240,NULL,-240,123,"2000-09-16 00:00:00.0","1970-01-01 19:00:00.0","2000-01-01 00:04:19.0",0,"1",-32509,-240,-240,"-240"
260,"260",-239,"-239",-239,-239,NULL,122,"2000-09-17 00:00:00.0","1970-01-01 20:00:00.0","2000-01-01 00:04:20.0",1,"0",-32508,-239,-239,"-239"
261,"261",-238,"-238",-238,-238,-238,NULL,"2000-09-18 00:00:00.0","1970-01-01 21:00:00.0","2000-01-01 00:04:21.0",0,"1",-32507,-238,-238,"-238"
262,"262",-237,"-237",-237,-237,-237,120,NULL,"1970-01-01 22:00:00.0","2000-01-01 00:04:22.0",1,"0",-32506,-237,-237,"-237"
263,"263",-236,"-236",-236,-236,-236,119,"2000-09-20 00:00:00.0",NULL,"2000-01-01 00:04:23.0",0,"1",-32505,-236,-236,"-236"
264,"264",-235,"-235",-235,-235,-235,118,"2000-09-21 00:00:00.0","1970-01-01 00:00:00.0",NULL,1,"0",-32504,-235,-235,"-235"
265,"265",-234,"-234",-234,-234,-234,117,"2000-09-22 00:00:00.0","1970-01-01 01:00:00.0","2000-01-01 00:04:25.0",0,"1",-32503,-234,-234,"-234"
266,"266",-233,"-233",-233,-233,-233,116,"2000-09-23 00:00:00.0","1970-01-01 02:00:00.0","2000-01-01 00:04:26.0",1,NULL,-32502,-233,-233,"-233"
267,"267",-232,"-232",-232,-232,-232,115,"2000-09-24 00:00:00.0","1970-01-01 03:00:00.0","2000-01-01 00:04:27.0",0,"1",NULL,-232,-232,"-232"
268,"268",-231,"-231",-231,-231,-231,114,"2000-09-25 00:00:00.0","1970-01-01 04:00:00.0","2000-01-01 00:04:28.0",1,"0",-32500,NULL,-231,"-231"
269,"269",-230,"-230",-230,-230,-230,113,"2000-09-26 00:00:00.0","1970-01-01 05:00:00.0","2000-01-01 00:04:29.0",0,"1",-32499,-230,NULL,"-230"
270,"270",-229,"-229",-229,-229,-229,112,"2000-09-27 00:00:00.0","1970-01-01 06:00:00.0","2000-01-01 00:04:30.0",1,"0",-32498,-229,-229,NULL
271,"271",-228,"-228",-228,-228,-228,111,"2000-09-28 00:00:00.0","1970-01-01 07:00:00.0","2000-01-01 00:04:31.0",0,"1",-32497,-228,-228,"-228"
272,"272",NULL,"-227",-227,-227,-227,110,"2000-09-29 00:00:00.0","1970-01-01 08:00:00.0","2000-01-01 00:04:32.0",1,"0",-32496,-227,-227,"-227"
273,"273",-226,NULL,-226,-226,-226,109,"2000-09-30 00:00:00.0","1970-01-01 09:00:00.0","2000-01-01 00:04:33.0",0,"1",-32495,-226,-226,"-226"
274,"274",-225,"-225",NULL,-225,-225,108,"2000-10-01 00:00:00.0","1970-01-01 10:00:00.0","2000-01-01 00:04:34.0",1,"0",-32494,-225,-225,"-225"
275,"275",-224,"-224",-224,NULL,-224,107,"2000-10-02 00:00:00.0","1970-01-01 11:00:00.0","2000-01-01 00:04:35.0",0,"1",-32493,-224,-224,"-224"
276,"276",-223,"-223",-223,-223,NULL,106,"2000-10-03 00:00:00.0","1970-01-01 12:00:00.0","2000-01-01 00:04:36.0",1,"0",-32492,-223,-223,"-223"
277,"277",-222,"-222",-222,-222,-222,NULL,"2000-10-04 00:00:00.0","1970-01-01 13:00:00.0","2000-01-01 00:04:37.0",0,"1",-32491,-222,-222,"-222"
278,"278",-221,"-221",-221,-221,-221,104,NULL,"1970-01-01 14:00:00.0","2000-01-01 00:04:38.0",1,"0",-32490,-221,-221,"-221"
279,"279",-220,"-220",-220,-220,-220,103,"2000-10-06 00:00:00.0",NULL,"2000-01-01 00:04:39.0",0,"1",-32489,-220,-220,"-220"
280,"280",-219,"-219",-219,-219,-219,102,"2000-10-07 00:00:00.0","1970-01-01 16:00:00.0",NULL,1,"0",-32488,-219,-219,"-219"
281,"281",-218,"-218",-218,-218,-218,101,"2000-10-08 00:00:00.0","1970-01-01 17:00:00.0","2000-01-01 00:04:41.0",0,"1",-32487,-218,-218,"-218"
