INTKEY,STRINGKEY,INTNUM,STRINGNUM,FLOATNUM,LONGNUM,DOUBLENUM,BYTENUM,DATEVALUE,TIMEVALUE,TIMESTAMPVALUE,BOOLEANVALUE,CHARVALUE,SHORTVALUE,BIGINTEGERVALUE,BIGDECIMALVALUE,objectvalue
0,0,,-24,-24.0,-24,-24.0,-128,2000-01-01,00:00:00,2000-01-01 00:00:00.0,false,1,-32768,-24,-24,-24
1,1,-23,,-23.0,-23,-23.0,-127,2000-01-02,01:00:00,2000-01-01 00:00:01.0,true,0,-32767,-23,-23,-23
2,2,-22,-22,,-22,-22.0,-126,2000-01-03,02:00:00,2000-01-01 00:00:02.0,false,1,-32766,-22,-22,-22
3,3,-21,-21,-21.0,,-21.0,-125,2000-01-04,03:00:00,2000-01-01 00:00:03.0,true,0,-32765,-21,-21,-21
4,4,-20,-20,-20.0,-20,,-124,2000-01-05,04:00:00,2000-01-01 00:00:04.0,false,1,-32764,-20,-20,-20
5,5,-19,-19,-19.0,-19,-19.0,,2000-01-06,05:00:00,2000-01-01 00:00:05.0,true,0,-32763,-19,-19,-19
6,6,-18,-18,-18.0,-18,-18.0,-122,,06:00:00,2000-01-01 00:00:06.0,false,1,-32762,-18,-18,-18
7,7,-17,-17,-17.0,-17,-17.0,-121,2000-01-08,,2000-01-01 00:00:07.0,true,0,-32761,-17,-17,-17
8,8,-16,-16,-16.0,-16,-16.0,-120,2000-01-09,08:00:00,,false,1,-32760,-16,-16,-16
9,9,-15,-15,-15.0,-15,-15.0,-119,2000-01-10,09:00:00,2000-01-01 00:00:09.0,false,0,-32759,-15,-15,-15
10,10,-14,-14,-14.0,-14,-14.0,-118,2000-01-11,10:00:00,2000-01-01 00:00:10.0,false,,-32758,-14,-14,-14
11,11,-13,-13,-13.0,-13,-13.0,-117,2000-01-12,11:00:00,2000-01-01 00:00:11.0,true,0,,-13,-13,-13
12,12,-12,-12,-12.0,-12,-12.0,-116,2000-01-13,12:00:00,2000-01-01 00:00:12.0,false,1,-32756,,-12,-12
13,13,-11,-11,-11.0,-11,-11.0,-115,2000-01-14,13:00:00,2000-01-01 00:00:13.0,true,0,-32755,-11,,-11
14,14,-10,-10,-10.0,-10,-10.0,-114,2000-01-15,14:00:00,2000-01-01 00:00:14.0,false,1,-32754,-10,-10,
15,15,-9,-9,-9.0,-9,-9.0,-113,2000-01-16,15:00:00,2000-01-01 00:00:15.0,true,0,-32753,-9,-9,-9
16,16,,-8,-8.0,-8,-8.0,-112,2000-01-17,16:00:00,2000-01-01 00:00:16.0,false,1,-32752,-8,-8,-8
17,17,-7,,-7.0,-7,-7.0,-111,2000-01-18,17:00:00,2000-01-01 00:00:17.0,true,0,-32751,-7,-7,-7
18,18,-6,-6,,-6,-6.0,-110,2000-01-19,18:00:00,2000-01-01 00:00:18.0,false,1,-32750,-6,-6,-6
19,19,-5,-5,-5.0,,-5.0,-109,2000-01-20,19:00:00,2000-01-01 00:00:19.0,true,0,-32749,-5,-5,-5
20,20,-4,-4,-4.0,-4,,-108,2000-01-21,20:00:00,2000-01-01 00:00:20.0,false,1,-32748,-4,-4,-4
21,21,-3,-3,-3.0,-3,-3.0,,2000-01-22,21:00:00,2000-01-01 00:00:21.0,true,0,-32747,-3,-3,-3
22,22,-2,-2,-2.0,-2,-2.0,-106,,22:00:00,2000-01-01 00:00:22.0,false,1,-32746,-2,-2,-2
23,23,-1,-1,-1.0,-1,-1.0,-105,2000-01-24,,2000-01-01 00:00:23.0,true,0,-32745,-1,-1,-1
24,24,0,0,0.0,0,0.0,-104,2000-01-25,00:00:00,,false,1,-32744,0,0,0
25,25,1,1,1.0,1,1.0,-103,2000-01-26,01:00:00,2000-01-01 00:00:25.0,false,0,-32743,1,1,1
26,26,2,2,2.0,2,2.0,-102,2000-01-27,02:00:00,2000-01-01 00:00:26.0,false,,-32742,2,2,2
27,27,3,3,3.0,3,3.0,-101,2000-01-28,03:00:00,2000-01-01 00:00:27.0,true,0,,3,3,3
28,28,4,4,4.0,4,4.0,-100,2000-01-29,04:00:00,2000-01-01 00:00:28.0,false,1,-32740,,4,4
29,29,5,5,5.0,5,5.0,-99,2000-01-30,05:00:00,2000-01-01 00:00:29.0,true,0,-32739,5,,5
30,30,6,6,6.0,6,6.0,-98,2000-01-31,06:00:00,2000-01-01 00:00:30.0,false,1,-32738,6,6,
31,31,7,7,7.0,7,7.0,-97,2000-02-01,07:00:00,2000-01-01 00:00:31.0,true,0,-32737,7,7,7
32,32,,8,8.0,8,8.0,-96,2000-02-02,08:00:00,2000-01-01 00:00:32.0,false,1,-32736,8,8,8
33,33,9,,9.0,9,9.0,-95,2000-02-03,09:00:00,2000-01-01 00:00:33.0,true,0,-32735,9,9,9
34,34,10,10,,10,10.0,-94,2000-02-04,10:00:00,2000-01-01 00:00:34.0,false,1,-32734,10,10,10
35,35,11,11,11.0,,11.0,-93,2000-02-05,11:00:00,2000-01-01 00:00:35.0,true,0,-32733,11,11,11
36,36,12,12,12.0,12,,-92,2000-02-06,12:00:00,2000-01-01 00:00:36.0,false,1,-32732,12,12,12
37,37,13,13,13.0,13,13.0,,2000-02-07,13:00:00,2000-01-01 00:00:37.0,true,0,-32731,13,13,13
38,38,14,14,14.0,14,14.0,-90,,14:00:00,2000-01-01 00:00:38.0,false,1,-32730,14,14,14
